Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments,
Sheffield Theatres Trust Ltd,NPO,"£1,279,865","£1,303,415","£1,303,415",Theatre,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
ShivaNova,NPO,£0,£0,"£92,000",Music,South East,South East,Ashford,Ashford,Non-LUCP,Non-Priority place,,
Shropshire Council,NPO,£0,£0,"£188,999",Museums,Midlands,West Midlands,Shrewsbury and Atcham,Shropshire,Non-LUCP,Non-Priority place,,
Shubbak: A Window on Contemporary Arab Culture,NPO,"£85,000","£86,564","£171,564",Combined arts,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,,
SICK! Productions,NPO,"£249,500","£254,091","£254,091",Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Signal Film and Media,NPO,£0,£0,"£200,000",Combined arts,North,North West,Barrow and Furness,Barrow-in-Furness,LUCP,Priority place,,
SIGNALS ESSEX MEDIA CENTRE LTD,NPO,£0,£0,"£65,000",Combined arts,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,,
Simmer Down CIC,NPO,£0,£0,"£200,000",Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Sinfonietta Productions Limited,NPO,"£499,565","£508,757","£300,000",Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Siobhan Davies Dance,NPO,"£582,018","£592,727","£592,727",Dance,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Site Gallery,NPO,"£314,107","£319,887","£319,887",Visual arts,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
Slung Low Limited,NPO,"£185,141","£188,548","£188,548",Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Small Green Shoots,NPO,"£120,000","£122,208","£383,000",Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
SoCo Music Project,NPO,£0,£0,"£172,000",Music,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,,
Soft Touch Arts Ltd,NPO,"£88,510","£90,139","£90,139",Not discipline specific,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Soho Theatre Company,NPO,"£603,478","£614,582","£614,582",Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Somerset Art Works,NPO,"£90,000","£91,656","£91,656",Visual arts,South West,South West,Somerton and Frome,South Somerset,LUCP,Priority place,,
Somerset Film and Video Ltd,NPO,"£87,453","£89,062","£89,062",Visual arts,South West,South West,Bridgwater and West Somerset,Sedgemoor,LUCP,Non-Priority place,,
Sonia Sabri Company,NPO,"£125,034","£127,335","£218,135",Dance,Midlands,West Midlands,"Birmingham, Selly Oak",Birmingham,Non-LUCP,Non-Priority place,,
Soul City Arts,NPO,£0,£0,"£300,000",Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,,
Soumik Datta Arts,NPO,£0,£0,"£133,000",Music,South West,South West,Stroud,Stroud,Non-LUCP,Non-Priority place,,
Sound Connections,NPO,£0,£0,"£120,000",Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Sound Minds,NPO,£0,£0,"£92,500",Music,London,London,Battersea,Wandsworth,Non-LUCP,Non-Priority place,,
SoundCity,NPO,"£200,000","£203,680","£203,680",Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
South Asian Arts-uk,NPO,"£181,000","£184,330","£684,330",Music,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
South East Dance Ltd,NPO,"£570,169","£580,660","£580,660",Dance,South East,South East,"Brighton, Kemptown",Brighton and Hove,Non-LUCP,Non-Priority place,,
South London Gallery,NPO,"£811,415","£826,345","£826,345",Visual arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,,
South Tyneside Council,NPO,£0,£0,"£125,000",Libraries,North,North East,South Shields,South Tyneside,LUCP,Priority place,,
South West Heritage Trust,NPO,£0,£0,"£212,600",Museums,South West,South West,Taunton Deane,Somerset West and Taunton,Non-LUCP,Non-Priority place,,
Southbank Centre,NPO,"£18,360,000","£18,697,824","£16,828,042",Combined arts,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
Southpaw Dance Productions,NPO,£0,£0,"£230,000",Dance,North,North East,Sunderland Central,Sunderland,LUCP,Non-Priority place,,
Spare Tyre Theatre Company Ltd,NPO,"£150,870","£153,646","£153,646",Theatre,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Spectra Arts CIC,NPO,£0,£0,"£120,000",Combined arts,Midlands,West Midlands,Warley,Sandwell,LUCP,Priority place,,
Spike Island Artspace Ltd,NPO,"£280,000","£285,152","£285,152",Visual arts,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
SPILL Festival Limited,NPO,"£266,708","£271,615","£271,615",Combined arts,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,,
Spitalfields Festival Ltd.,NPO,"£70,000","£71,288","£97,488",Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Spread the Word,NPO,"£197,397","£201,029","£281,029",Literature,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Square Chapel CIC,NPO,£0,£0,"£159,000",Theatre,North,Yorkshire and The Humber,Halifax,Calderdale,Non-LUCP,Non-Priority place,,
ss Great Britain Trust,NPO,"£210,000","£213,864","£213,864",Museums,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
St Albans Museums,NPO,£0,£0,"£351,375",Museums,South East,East of England,St Albans,St Albans,Non-LUCP,Non-Priority place,,
St Barbe Museum and Art Gallery,NPO,£0,£0,"£150,000",Museums,South West,South East,New Forest West,New Forest,LUCP,Priority place,,
St Helens Council Library Service,NPO,"£110,000","£112,024","£236,309",Libraries,North,North West,St Helens South and Whiston,St. Helens,LUCP,Non-Priority place,,
St Margaret's House,NPO,£0,£0,"£150,000",Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
St Pauls Carnival (Bristol) CIC,NPO,"£150,000","£152,760","£219,427",Combined arts,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
Stagetext,IPSO (Transfer),"£268,773","£273,718","£363,718",Not discipline specific,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Stanley Halls,NPO,£0,£0,"£307,000",Combined arts,London,London,Croydon North,Croydon,Non-LUCP,Priority place,,
Stanley Picker Gallery,NPO,"£80,000","£81,472","£81,472",Visual arts,London,London,Kingston and Surbiton,Kingston upon Thames,Non-LUCP,Non-Priority place,,
Stan's Cafe,NPO,"£156,865","£159,751","£159,751",Theatre,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Steve Ross Foundation for the Arts,NPO,£0,£0,"£150,000",Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,,
Stockton Arts Centre Ltd,NPO,"£306,091","£311,723","£371,723",Combined arts,North,North East,Stockton North,Stockton-on-Tees,LUCP,Priority place,,
Stockton Borough Council Tees Valley Museum Group,NPO,"£375,000","£381,900","£601,900",Museums,North,North East,Stockton South,Stockton-on-Tees,LUCP,Priority place,,
Stockton International Riverside Festival,NPO,"£301,356","£306,901","£306,901",Combined arts,North,North East,Stockton North,Stockton-on-Tees,LUCP,Priority place,,
Stoke on Trent & North Staffordshire Theatre Trust,NPO,"£932,401","£949,557","£1,149,557",Theatre,Midlands,West Midlands,Newcastle-under-Lyme,Newcastle-under-Lyme,Non-LUCP,Non-Priority place,,
Stopgap Dance Company,NPO,"£276,654","£281,744","£450,000",Dance,South East,South East,South West Surrey,Waverley,Non-LUCP,Non-Priority place,,
Streetwise Opera,NPO,"£100,580","£102,431","£102,431",Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Strike A Light (Gloucester),NPO,"£85,000","£86,564","£249,534",Combined arts,South West,South West,Gloucester,Gloucester,LUCP,Priority place,,
Stroud Valleys Artspace,NPO,"£68,947","£70,216","£70,216",Visual arts,South West,South West,Stroud,Stroud,Non-LUCP,Non-Priority place,,
Studio 3 Arts,NPO,"£117,993","£120,164","£165,164",Combined arts,London,London,Barking,Barking and Dagenham,Non-LUCP,Priority place,,
Studio Voltaire,NPO,"£67,079","£68,313","£68,313",Visual arts,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
Studio Wayne McGregor,NPO,"£515,212","£524,692","£524,692",Dance,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Suffolk Libraries,NPO,"£176,000","£179,238","£275,172",Libraries,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,,
Sunderland Culture,NPO,"£500,000","£509,200","£634,200",Combined arts,North,North East,Sunderland Central,Sunderland,LUCP,Non-Priority place,,
Sunshine International Arts,NPO,"£75,000","£76,380","£76,380",Combined arts,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,,
Surface Area Dance Theatre CIC,NPO,£0,£0,"£209,636",Dance,North,North East,Houghton and Sunderland South,Sunderland,LUCP,Non-Priority place,,
Swindon Dance,NPO,"£206,200","£209,994","£209,994",Dance,South West,South West,South Swindon,Swindon,LUCP,Priority place,,
Take Art Limited,NPO,"£160,425","£163,377","£163,377",Combined arts,South West,South West,Yeovil,South Somerset,LUCP,Priority place,,
Talawa Theatre Company Ltd,NPO,"£440,305","£448,407","£698,407",Theatre,London,London,Croydon Central,Croydon,Non-LUCP,Priority place,,
Talking Birds Theatre Company Limited,NPO,"£101,748","£103,620","£103,620",Theatre,Midlands,West Midlands,Coventry North West,Coventry,Non-LUCP,Non-Priority place,,
Tamasha Theatre Company,NPO,"£314,465","£320,251","£320,251",Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Tangle Ltd,NPO,"£101,000","£102,858","£152,858",Theatre,South West,South West,South Swindon,Swindon,LUCP,Priority place,,
Tangled Feet,NPO,"£192,945","£196,495","£291,495",Theatre,South East,East of England,Luton South,Luton,LUCP,Priority place,,
Tara Theatre,NPO,£0,"£211,006","£422,000",Theatre,London,London,Tooting,Wandsworth,Non-LUCP,Non-Priority place,"Started the 2018-22 portfolio as NPOs, but for various reasons didn't complete the funding period.",
Tavaziva Dance,NPO,"£188,505","£191,973","£191,973",Dance,London,London,Battersea,Wandsworth,Non-LUCP,Non-Priority place,,
Tech Styles Dance LTD,NPO,£0,£0,"£198,000",Dance,North,Yorkshire and The Humber,Bradford East,Bradford,Non-LUCP,Non-Priority place,,
Tees Valley Arts,NPO,£0,£0,"£100,000",Visual arts,North,North East,Redcar,Redcar and Cleveland,LUCP,Priority place,,
Teesside University,NPO,"£510,757","£520,155","£520,155",Visual arts,North,North East,Middlesbrough,Middlesbrough,LUCP,Priority place,,
Tete a Tete,NPO,"£100,580","£102,431","£102,431",Music,South West,London,Twickenham,Richmond upon Thames,Non-LUCP,Non-Priority place,,
Thackray Medical Museum,NPO,"£221,885","£225,968","£225,968",Museums,North,Yorkshire and The Humber,Leeds East,Leeds,Non-LUCP,Non-Priority place,,
The 87 Press LTD,NPO,£0,£0,"£100,000",Literature,London,London,Sutton and Cheam,Sutton,Non-LUCP,Non-Priority place,,
the Albany,NPO,"£306,015","£311,646","£179,254",Combined arts,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
The Alternative Theatre Company Ltd.,NPO,"£595,281","£606,234","£656,234",Theatre,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,,
The Anvil Trust Ltd,NPO,"£138,949","£141,506","£141,506",Music,South West,South East,Basingstoke,Basingstoke and Deane,Non-LUCP,Non-Priority place,,
The Artangel Trust,NPO,"£852,333","£868,016","£868,016",Visual arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
The Arts Depot Trust Ltd,NPO,"£301,738","£307,290","£307,290",Combined arts,London,London,Finchley and Golders Green,Barnet,Non-LUCP,Non-Priority place,,
The Ashton Group Theatre,NPO,"£80,494","£81,975","£148,790",Theatre,North,North West,Barrow and Furness,Barrow-in-Furness,LUCP,Priority place,,
The Auxiliary Project Space,NPO,£0,£0,"£180,000",Visual arts,North,North East,Middlesbrough,Middlesbrough,LUCP,Priority place,,
The Bluecoat,NPO,"£486,887","£495,846","£495,846",Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
The Bowes Museum,NPO,"£367,807","£374,575","£374,572",Museums,North,North East,Bishop Auckland,County Durham,LUCP,Priority place,,
The Box (Plymouth City Council),NPO,"£1,036,500","£1,220,043","£1,220,043",Visual arts,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,,
The Bronte Society,NPO,"£232,500","£236,778","£236,778",Literature,North,Yorkshire and The Humber,Keighley,Bradford,Non-LUCP,Non-Priority place,,
The Children's Bookshow,NPO,"£67,079","£68,313","£68,313",Literature,London,London,Hampstead and Kilburn,Brent,Non-LUCP,Priority place,,
THE CLAY FOUNDATION CIO,NPO,"£175,000","£178,220","£310,000",Visual arts,Midlands,West Midlands,Stoke-on-Trent Central,Stoke-on-Trent,LUCP,Priority place,,
The Clore Leadership Programme,IPSO (Transfer),£0,£0,"£500,000",Not discipline specific,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
The Courtyard Trust,NPO,"£212,861","£216,778","£216,778",Combined arts,Midlands,West Midlands,Hereford and South Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,,
The Creative Art House,NPO,"£247,087","£251,633","£251,633",Visual arts,North,Yorkshire and The Humber,Wakefield,Wakefield,Non-LUCP,Non-Priority place,,
The Culture House Ltd,NPO,£0,£0,"£120,000",Combined arts,North,Yorkshire and The Humber,Great Grimsby,North East Lincolnshire,LUCP,Priority place,,
The Customs House,NPO,"£100,678","£102,530","£204,000",Combined arts,North,North East,South Shields,South Tyneside,LUCP,Priority place,,
The Dukes Playhouse Ltd,NPO,"£256,190","£260,904","£260,904",Theatre,North,North West,Lancaster and Fleetwood,Lancaster,Non-LUCP,Non-Priority place,,
The Exchange Erith Ltd.,NPO,£0,£0,"£108,000",Visual arts,London,London,Erith and Thamesmead,Bexley,Non-LUCP,Non-Priority place,,
The Forge,NPO,"£57,496","£58,554","£89,054",Combined arts,North,North East,North Durham,County Durham,LUCP,Priority place,,
The Foundling Museum,NPO,£0,£0,"£150,000",Museums,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
The GAP Arts Project,NPO,£0,£0,"£155,000",Visual arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,,
The Garden Museum,NPO,£0,£0,"£122,250",Museums,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
The Good Agency,NPO,£0,£0,"£152,542",Literature,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
The Hall For Cornwall Trust,NPO,"£376,282","£383,206","£383,206",Theatre,South West,South West,Truro and Falmouth,Cornwall,Non-LUCP,Non-Priority place,,
The Hepworth Wakefield Trust,NPO,"£906,101","£922,773","£922,773",Visual arts,North,Yorkshire and The Humber,Wakefield,Wakefield,Non-LUCP,Non-Priority place,,
The Island Collection,NPO,£0,£0,"£175,000",Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,,
The Lawnmowers Independent Theatre Company,NPO,"£60,998","£62,120","£62,120",Theatre,North,North East,Jarrow,Gateshead,Non-LUCP,Non-Priority place,,
The Lightbox,NPO,£0,£0,"£150,000",Museums,South East,South East,Woking,Woking,Non-LUCP,Non-Priority place,,
The Literary Consultancy,NPO,"£73,985","£75,346","£75,346",Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
The Lowry Centre Trust,NPO,"£860,000","£875,824","£875,824",Combined arts,North,North West,Salford and Eccles,Salford,Non-LUCP,Non-Priority place,,
The Lyric Theatre Hammersmith Limited,NPO,"£1,100,000","£1,120,240","£1,120,240",Theatre,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,,
The Maltings Berwick Trust Limited,NPO,"£176,387","£179,633","£179,633",Combined arts,North,North East,Berwick-upon-Tweed,Northumberland,LUCP,Non-Priority place,,
The Met,NPO,"£100,580","£102,431","£187,431",Combined arts,North,North West,Bury North,Bury,LUCP,Non-Priority place,,
The Midi Music Company,NPO,"£117,234","£119,391","£119,391",Music,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
The Mill Arts Centre,NPO,£0,£0,"£183,000",Combined arts,South East,South East,Banbury,Cherwell,Non-LUCP,Non-Priority place,,
The Ministry of Stories,NPO,"£89,113","£90,753","£90,753",Literature,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
The National Holocaust Centre and Museum,NPO,"£300,000","£305,520","£400,000",Museums,Midlands,East Midlands,Newark,Newark and Sherwood,LUCP,Non-Priority place,,
The National Youth Brass Band of Great Britain,NPO,"£61,054","£62,177","£119,263",Music,South East,East of England,North East Bedfordshire,Bedford,Non-LUCP,Non-Priority place,,
The New Carnival Company CIC,NPO,"£76,661","£78,072","£100,372",Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,,
The NewBridge Project,NPO,"£70,000","£71,288","£71,288",Visual arts,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
The Norton Priory Museum Trust,NPO,£0,£0,"£136,500",Museums,North,North West,Weaver Vale,Halton,LUCP,Non-Priority place,,
The Octagon Theatre Trust,NPO,"£614,060","£625,359","£625,359",Theatre,North,North West,Bolton North East,Bolton,LUCP,Non-Priority place,,
The Organisation for New Music and Sound,NPO,"£704,659","£717,625","£500,000",Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
The Paper Birds Theatre Company,NPO,£0,£0,"£200,000",Theatre,South East,East of England,Maldon,Maldon,Non-LUCP,Non-Priority place,,
The People's Orchestra,NPO,£0,£0,"£200,000",Music,Midlands,West Midlands,West Bromwich East,Sandwell,LUCP,Priority place,,
The Performance Ensemble,NPO,£0,£0,"£250,000",Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
The Phoenix Theatre & Arts Centre,NPO,£0,£0,"£81,233",Combined arts,South West,South East,East Hampshire,East Hampshire,Non-LUCP,Non-Priority place,,
The Photographers' Gallery,NPO,"£902,265","£918,867","£918,867",Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
The Plough Arts Centre,NPO,£0,£0,"£120,000",Combined arts,South West,South West,Torridge and West Devon,Torridge,LUCP,Non-Priority place,,
The Poetry Society,NPO,"£354,559","£361,083","£361,083",Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
The Point,NPO,"£125,000","£127,300","£127,300",Combined arts,South West,South East,Eastleigh,Eastleigh,Non-LUCP,Non-Priority place,,
The Portland Inn Project CIC,NPO,£0,£0,"£94,000",Visual arts,Midlands,West Midlands,Stoke-on-Trent Central,Stoke-on-Trent,LUCP,Priority place,,
The Posh Club,NPO,£0,£0,"£150,000",Combined arts,South East,South East,Crawley,Crawley,LUCP,Priority place,,
The Postal Museum,NPO,£0,£0,"£150,000",Museums,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
The Pound Arts Trust Ltd,NPO,"£75,435","£76,823","£76,823",Combined arts,South West,South West,Chippenham,Wiltshire,Non-LUCP,Non-Priority place,,
The Reader,NPO,"£175,000","£178,220","£178,220",Literature,North,North West,"Liverpool, Wavertree",Liverpool,Non-LUCP,Non-Priority place,,
The Reading Agency,NPO,"£475,394","£484,141","£484,141",Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
The Ropewalk (Barton) Ltd,NPO,"£67,079","£68,313","£68,313",Combined arts,North,Yorkshire and The Humber,Cleethorpes,North Lincolnshire,LUCP,Non-Priority place,,
The Roundhouse Trust,NPO,"£974,713","£992,648","£992,648",Combined arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
The Seachange Trust,NPO,"£390,000","£397,176","£597,176",Combined arts,South East,East of England,Great Yarmouth,Great Yarmouth,LUCP,Priority place,,
The Seagull Lowestoft Community Interest Company,NPO,£0,£0,"£100,000",Theatre,South East,East of England,Waveney,East Suffolk,Non-LUCP,Non-Priority place,,
The Shakespeare North Trust,NPO,£0,£0,"£400,000",Theatre,North,North West,St Helens South and Whiston,Knowsley,LUCP,Priority place,,
The Showroom,NPO,"£127,894","£130,247","£130,247",Visual arts,London,London,Westminster North,Westminster,Non-LUCP,Non-Priority place,,
The Spark Arts for Children,NPO,"£172,866","£176,047","£176,047",Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
The Spring Arts & Heritage Centre,NPO,"£120,000","£122,208","£122,208",Combined arts,South West,South East,Havant,Havant,LUCP,Non-Priority place,,
The Story Museum,NPO,"£175,000","£178,220","£178,220",Literature,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,,
The Theatre Orchard,NPO,"£90,000","£91,656","£341,656",Theatre,South West,South West,Weston-Super-Mare,North Somerset,LUCP,Priority place,,
The UK Association for Music Education - Music Mark,IPSO,£0,£0,"£400,614",Music,South West,South East,Winchester,Winchester,Non-LUCP,Non-Priority place,,
The University of Lincoln,NPO,£0,£0,"£250,000",Theatre,Midlands,East Midlands,Lincoln,Lincoln,Non-LUCP,Non-Priority place,,
The Warren Youth Project,NPO,£0,£0,"£136,000",Combined arts,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,,
The Wigmore Hall Trust,NPO,"£337,987","£344,206","£344,206",Music,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
The Writing Squad,NPO,"£97,743","£99,541","£131,291",Literature,North,North West,Stockport,Stockport,Non-LUCP,Non-Priority place,,
The Yard Theatre Ltd.,NPO,"£150,000","£152,760","£152,760",Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
The York Early Music Foundation,NPO,"£270,467","£275,444","£275,444",Music,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,,
Theatre Centre,NPO (Transfer),"£240,000","£244,416","£244,416",Theatre,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Theatre de Complicite Education Ltd,NPO (Transfer),"£363,622","£370,313","£370,313",Theatre,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Theatre Hullabaloo,NPO,"£250,318","£254,924","£389,924",Theatre,North,North East,Darlington,Darlington,LUCP,Priority place,,
Theatre in the Mill,NPO,"£120,171","£122,382","£122,382",Theatre,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,,
Theatre Peckham,NPO,"£142,924","£145,554","£145,554",Theatre,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,,
Theatre Royal (Plymouth) Ltd,NPO,"£1,185,500","£1,207,313","£1,207,313",Theatre,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,,
Theatre Royal Bury St Edmunds,NPO,£0,£0,"£220,000",Theatre,South East,East of England,Bury St Edmunds,West Suffolk,Non-LUCP,Non-Priority place,,
Theatre-Rites,NPO,"£240,389","£244,812","£244,812",Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
TheSpace C.I.C.,IPSO,£0,£0,"£1,300,000",Not discipline specific,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
ThickSkin Theatre,NPO,£0,£0,"£180,000",Theatre,North,North West,Wigan,Wigan,LUCP,Priority place,,
Threshold Studios,NPO,"£80,464","£81,945","£184,878",Visual arts,Midlands,East Midlands,Northampton North,West Northamptonshire,Non-LUCP,Non-Priority place,,
Tiata Fahodzi Ltd,NPO,"£210,000","£213,864","£338,864",Theatre,South East,East of England,Watford,Watford,Non-LUCP,Non-Priority place,,
TIN Arts,NPO,"£81,453","£82,952","£202,952",Dance,North,North East,City of Durham,County Durham,LUCP,Priority place,,
TL Universal Events Limited,NPO,£0,£0,"£122,000",Music,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Tobacco Factory Theatres,NPO,"£60,348","£61,458","£61,458",Theatre,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,,
Together! 2012 CIC,NPO,"£60,000","£61,104","£106,104",Combined arts,London,London,East Ham,Newham,Non-LUCP,Priority place,,
Told by an Idiot,NPO,"£168,214","£171,309","£171,309",Theatre,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Tom Dale Company,NPO,"£157,600","£160,500","£160,500",Dance,Midlands,East Midlands,Nottingham East,Nottingham,Non-LUCP,Non-Priority place,,
Tomorrow's Warriors Ltd,NPO,"£208,744","£212,585","£350,000",Music,London,London,Harrow West,Harrow,Non-LUCP,Non-Priority place,,
Touretteshero CIC,NPO,£0,£0,"£370,000",Combined arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,,
Touring Exhibitions Group,IPSO,£0,£0,"£160,000",Museums,Midlands,Wales,Swansea East,Swansea,Non-LUCP,Non-Priority place,,
Towner Art Gallery,NPO,"£359,350","£365,962","£537,962",Visual arts,South East,South East,Eastbourne,Eastbourne,LUCP,Non-Priority place,,
Transform Theatre Projects,NPO,£0,£0,"£190,000",Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Travaux Sauvages Ltd t/a Wildworks,NPO,"£206,189","£209,983","£209,983",Theatre,South West,South West,Camborne and Redruth,Cornwall,Non-LUCP,Non-Priority place,,
Triangle Arts Trust,NPO,"£284,866","£290,108","£290,108",Visual arts,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
Trigger Productions Ltd,NPO,£0,£0,"£325,000",Combined arts,South West,South West,Weston-Super-Mare,North Somerset,LUCP,Priority place,,
Triple C,NPO,£0,£0,"£309,090",Not discipline specific,North,North West,"Manchester, Withington",Manchester,Non-LUCP,Non-Priority place,,
Tropical Isles,NPO,£0,£0,"£99,250",Combined arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Tullie House Museum and Art Gallery,NPO,"£1,165,861","£1,187,313","£1,187,313",Museums,North,North West,Carlisle,Carlisle,Non-LUCP,Non-Priority place,,
Turf Projects,NPO,£0,£0,"£120,000",Visual arts,London,London,Croydon Central,Croydon,Non-LUCP,Priority place,,
Turner Contemporary,NPO,"£669,473","£681,791","£681,791",Visual arts,South East,South East,North Thanet,Thanet,Non-LUCP,Non-Priority place,,
"Turner Sims, Southampton",NPO,"£43,122","£43,915","£50,000",Music,South West,South East,"Southampton, Test",Southampton,Non-LUCP,Non-Priority place,,
tutti frutti productions,NPO,"£178,703","£181,991","£181,991",Theatre,North,Yorkshire and The Humber,Leeds East,Leeds,Non-LUCP,Non-Priority place,,
